01/12 10:40:00 FINE sim.Admin|Log for simulation 6 started
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=23260249, reachImps=1657, dayStart=1, dayEnd=5, targetSegment=[FEMALE, HIGH_INCOME], videoCoef=2.7627406558791807, mobileCoef=2.3044328336281543, budgetMillis=1657, advertiser=DummyAdnetwork-6]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@95e811
01/12 10:40:00 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=5513866, reachImps=5882, dayStart=1, dayEnd=5, targetSegment=[YOUNG, MALE], videoCoef=2.0486675952664415, mobileCoef=1.9775410417453578, budgetMillis=5882, advertiser=DummyAdnetwork-7]
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@1c9b503
01/12 10:40:00 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@1f199c7
01/12 10:40:00 INFO agents.DemandAgent|Day 0 :Notifying new campaign opportunity: CampaignImpl [id=4662024, reachImps=1939, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE, HIGH_INCOME], videoCoef=2.1553575754397656, mobileCoef=1.629437403294387, budgetMillis=0, advertiser=null]
01/12 10:40:00 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.1358282537125221 Cmp ID: 4662024 Cmp Bid: 1486
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.14710737165947774 Cmp ID: 4662024 Cmp Bid: 1765
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.19067682076939305 Cmp ID: 4662024 Cmp Bid: 1010
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.17798555280328054 Cmp ID: 4662024 Cmp Bid: 324
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.15034093053274453 Cmp ID: 4662024 Cmp Bid: 1380
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.17651226270183445 Cmp ID: 4662024 Cmp Bid: 746
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.10610115828155507 Cmp ID: 4662024 Cmp Bid: 350
01/12 10:40:00 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.14667554457104748 Cmp ID: 4662024 Cmp Bid: 870
01/12 10:40:10 INFO sim.Simulation|***** START OF TIME 1 *****
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #8429901 at price 3.312
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #8429901 at price 3.312
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2386272 at price 9.54
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #2386272 at price 9.54
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #14099356 at price 3.037
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #14099356 at price 3.037
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #21259098 at price 10.49
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #21259098 at price 10.49
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4952081 at price 9.54
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #4952081 at price 9.54
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #23260249 at price 1.657
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #23260249 at price 1.657
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #5513866 at price 5.882
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #5513866 at price 5.882
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4091928 at price 5.59
01/12 10:40:10 INFO demand.CampaignImpl|Applied daily limit for campaign #4091928 at price 5.59
01/12 10:40:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=4662024, reachImps=1939, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE, HIGH_INCOME], videoCoef=2.1553575754397656, mobileCoef=1.629437403294387, budgetMillis=0, advertiser=null]
01/12 10:40:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
01/12 10:40:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=4662024, reachImps=1939, dayStart=2, dayEnd=4, targetSegment=[OLD, MALE, HIGH_INCOME], videoCoef=2.1553575754397656, mobileCoef=1.629437403294387, budgetMillis=350, advertiser=adv1]
01/12 10:40:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] DummyAdnetwork-7[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork[efday=1, level=1.0, price=0.0] 
01/12 10:40:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@18fa5a7
01/12 10:40:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=32035591, reachImps=40352, dayStart=3, dayEnd=12, targetSegment=[FEMALE], videoCoef=2.193465345164138, mobileCoef=1.710766014383748, budgetMillis=0, advertiser=null]
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnn
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for sears
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
01/12 10:40:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for wallmart
01/12 10:40:10 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
01/12 10:40:10 SEVERE demand.CampaignImpl|Campaign #4091928 impressed while over limit. Current cost: 5.591204836636799 Budget limit: 5.59
01/12 10:40:10 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 4091928, daily limit was: 5590, 5.59 values are: 4812.875704036146, 5.591204836636799, total limit was: 2147483647, Infinity total values are: 0.04812.875704036146, 0.05.591204836636799
01/12 10:40:10 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=4091928, AdNetwork=adv1] due to limit. My name is adv1
01/12 10:40:11 SEVERE demand.CampaignImpl|Campaign #14099356 impressed while over limit. Current cost: 3.0164733496440803 Budget limit: 3.037
01/12 10:40:11 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 14099356, daily limit was: 3037, 3.037 values are: 3039.8388386201277, 3.0164733496440803, total limit was: 2147483647, Infinity total values are: 0.03039.8388386201277, 0.03.0164733496440803
01/12 10:40:11 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=14099356, AdNetwork=DummyAdnetwork-3] due to limit. My name is DummyAdnetwork-3
01/12 10:40:11 SEVERE demand.CampaignImpl|Campaign #5513866 impressed while over limit. Current cost: 5.885020501413743 Budget limit: 5.882
01/12 10:40:11 SEVERE agents.DemandAgent|Day 1 :Campaign limit expired Impressed while over limit: 5513866, daily limit was: 5882, 5.882 values are: 4080.723333154926, 5.885020501413743, total limit was: 2147483647, Infinity total values are: 0.04080.723333154926, 0.05.885020501413743
01/12 10:40:11 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=5513866, AdNetwork=DummyAdnetwork-7] due to limit. My name is DummyAdnetwork-7
01/12 10:40:11 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 1525
01/12 10:40:11 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.1723430381197848 Cmp ID: 32035591 Cmp Bid: 13117
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.10781049387534819 Cmp ID: 32035591 Cmp Bid: 10664
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12009486568593784 Cmp ID: 32035591 Cmp Bid: 6723
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.13210465808562888 Cmp ID: 32035591 Cmp Bid: 11039
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.12554773337938072 Cmp ID: 32035591 Cmp Bid: 16178
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1921778328745052 Cmp ID: 32035591 Cmp Bid: 35579
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.11998247495416578 Cmp ID: 32035591 Cmp Bid: 21491
01/12 10:40:11 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.14789315894515373 Cmp ID: 32035591 Cmp Bid: 32562
01/12 10:40:20 INFO sim.Simulation|***** START OF TIME 2 *****
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #8429901 at price 3.312
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #8429901 at price 3.312
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2386272 at price 9.54
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #2386272 at price 9.54
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4662024 at price 0.35
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #4662024 at price 0.35
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #14099356 at price 3.037
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #14099356 at price 3.037
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #21259098 at price 10.49
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #21259098 at price 10.49
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4952081 at price 9.54
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #4952081 at price 9.54
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #23260249 at price 1.657
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #23260249 at price 1.657
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #5513866 at price 5.882
01/12 10:40:20 INFO demand.CampaignImpl|Applied daily limit for campaign #5513866 at price 5.882
01/12 10:40:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=32035591, reachImps=40352, dayStart=3, dayEnd=12, targetSegment=[FEMALE], videoCoef=2.193465345164138, mobileCoef=1.710766014383748, budgetMillis=0, advertiser=null]
01/12 10:40:20 FINE agents.DemandAgent|Day 2 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
01/12 10:40:20 FINE agents.DemandAgent|Day 2 :Reporting campaign auction results... CampaignImpl [id=32035591, reachImps=40352, dayStart=3, dayEnd=12, targetSegment=[FEMALE], videoCoef=2.193465345164138, mobileCoef=1.710766014383748, budgetMillis=11039, advertiser=DummyAdnetwork-3]
01/12 10:40:20 FINE agents.DemandAgent|Day 2 :Reporting UCS auction results... DummyAdnetwork-5[efday=2, level=0.81, price=0.12177615373152308] DummyAdnetwork-4[efday=2, level=0.7290000000000001, price=0.10724127393975928] DummyAdnetwork-3[efday=2, level=1.0, price=0.17798555280328054] adv1[efday=2, level=0.9, price=0.158861036431651] DummyAdnetwork-2[efday=2, level=0.6561000000000001, price=0.09623382479306426] DummyAdnetwork-7[efday=2, level=0.5904900000000002, price=0.0802052255347072] DummyAdnetwork-6[efday=2, level=0.47829690000000014, price=0.0] DummyAdnetwork[efday=2, level=0.5314410000000002, price=0.056386505658307925] 
01/12 10:40:20 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@da241
01/12 10:40:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=32035683, reachImps=22464, dayStart=4, dayEnd=13, targetSegment=[OLD, FEMALE], videoCoef=2.7290337487159855, mobileCoef=1.6427667549313933, budgetMillis=0, advertiser=null]
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnn
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for sears
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
01/12 10:40:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for wallmart
01/12 10:40:20 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
01/12 10:40:20 SEVERE demand.CampaignImpl|Campaign #4952081 impressed while over limit. Current cost: 9.542447674431374 Budget limit: 9.54
01/12 10:40:20 SEVERE agents.DemandAgent|Day 2 :Campaign limit expired Impressed while over limit: 4952081, daily limit was: 9540, 9.54 values are: 6586.331026810897, 9.542447674431374, total limit was: 2147483647, Infinity total values are: 0.06586.331026810897, 0.09.542447674431374
01/12 10:40:20 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=4952081, AdNetwork=DummyAdnetwork-5] due to limit. My name is DummyAdnetwork-5
01/12 10:40:20 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 824
01/12 10:40:20 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.10868586021384206 Cmp ID: 32035683 Cmp Bid: 12565
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.10328866838162222 Cmp ID: 32035683 Cmp Bid: 12299
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from adv1 : UCS Bid: 0.17548293858341252 Cmp ID: 32035683 Cmp Bid: 3743
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.12887691204264876 Cmp ID: 32035683 Cmp Bid: 8541
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.17007737816457352 Cmp ID: 32035683 Cmp Bid: 4640
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.17522124545132156 Cmp ID: 32035683 Cmp Bid: 238
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.18950029152137465 Cmp ID: 32035683 Cmp Bid: 5470
01/12 10:40:21 FINE agents.DemandAgent|Day 2 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.1287003418458282 Cmp ID: 32035683 Cmp Bid: 4971
01/12 10:40:30 INFO sim.Simulation|***** START OF TIME 3 *****
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #8429901 at price 3.312
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #8429901 at price 3.312
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #2386272 at price 9.54
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #2386272 at price 9.54
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #32035591 at price 11.039
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #32035591 at price 11.039
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #21259098 at price 10.49
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #21259098 at price 10.49
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4952081 at price 9.54
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #4952081 at price 9.54
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #23260249 at price 1.657
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #23260249 at price 1.657
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #5513866 at price 5.882
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #5513866 at price 5.882
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #4662024 at price 0.35
01/12 10:40:30 INFO demand.CampaignImpl|Applied daily limit for campaign #4662024 at price 0.35
01/12 10:40:30 INFO agents.DemandAgent|Day 3 : Auction pending campaign: CampaignImpl [id=32035683, reachImps=22464, dayStart=4, dayEnd=13, targetSegment=[OLD, FEMALE], videoCoef=2.7290337487159855, mobileCoef=1.6427667549313933, budgetMillis=0, advertiser=null]
01/12 10:40:30 FINE agents.DemandAgent|Day 3 :Quality Ratings... Quality Retings DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0adv1: 1.0DummyAdnetwork-2: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0DummyAdnetwork: 1.0
01/12 10:40:30 FINE agents.DemandAgent|Day 3 :Reporting campaign auction results... CampaignImpl [id=32035683, reachImps=22464, dayStart=4, dayEnd=13, targetSegment=[OLD, FEMALE], videoCoef=2.7290337487159855, mobileCoef=1.6427667549313933, budgetMillis=4971, advertiser=DummyAdnetwork-7]
01/12 10:40:30 FINE agents.DemandAgent|Day 3 :Reporting UCS auction results... DummyAdnetwork-5[efday=3, level=1.0, price=0.1723430381197848] DummyAdnetwork-4[efday=3, level=0.6561000000000001, price=0.07879424137654384] DummyAdnetwork-3[efday=3, level=0.7290000000000001, price=0.09152429763356855] adv1[efday=3, level=0.5904900000000002, price=0.07084845163568537] DummyAdnetwork-2[efday=3, level=0.47829690000000014, price=0.0] DummyAdnetwork-7[efday=3, level=0.81, price=0.1070047730493594] DummyAdnetwork-6[efday=3, level=0.5314410000000002, price=0.05729491667560894] DummyAdnetwork[efday=3, level=0.9, price=0.13310384305063835] 
01/12 10:40:30 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@5188af event: tau.tac.adx.messages.UserClassificationServiceNotification@ae9fd5
01/12 10:40:30 INFO agents.DemandAgent|Day 3 :Notifying new campaign opportunity: CampaignImpl [id=20528734, reachImps=7920, dayStart=5, dayEnd=9, targetSegment=[YOUNG, FEMALE, LOW_INCOME], videoCoef=2.582163647185528, mobileCoef=1.8735736587123513, budgetMillis=0, advertiser=null]
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnn
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for sears
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for weather
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
01/12 10:40:30 FINE agents.DefaultAdxUserManager|Updating reserve prices for wallmart
01/12 10:40:30 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
01/12 10:40:30 SEVERE demand.CampaignImpl|Campaign #4662024 impressed while over limit. Current cost: 0.3511122613848349 Budget limit: 0.35
01/12 10:40:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 4662024, daily limit was: 1939, 0.35 values are: 339.4838777570373, 0.3511122613848349, total limit was: 2147483647, Infinity total values are: 711.5736600328793339.4838777570373, 0.068910875303965060.3511122613848349
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=4662024, AdNetwork=adv1] due to limit. My name is adv1
01/12 10:40:30 SEVERE demand.CampaignImpl|Campaign #23260249 impressed while over limit. Current cost: 0.33782861608040443 Budget limit: 1.657
01/12 10:40:30 SEVERE agents.DemandAgent|Day 3 :Campaign limit expired Impressed while over limit: 23260249, daily limit was: 711, 1.657 values are: 713.3694854876447, 0.33782861608040443, total limit was: 2147483647, Infinity total values are: 2574.0701466352402713.3694854876447, 0.044110532818197390.33782861608040443
01/12 10:40:30 INFO tracker.AdxBidTrackerImpl|Accepted request to stop bidding for CampaignLimitReached [campaignId=23260249, AdNetwork=DummyAdnetwork-6] due to limit. My name is DummyAdnetwork-6
